,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
2170,YOR188W,,9.43213423126674,9.44373627601182,9.437935253639282
3423,YGL094C,10.546071865508171,,8.350307760327203,9.448189812917686
3329,YPL193W,6.689536598183413,6.787309790282416,14.969874279456347,9.482240222640726
789,YGR162W,14.572363615271518,8.37822291959707,5.5254294234309915,9.492005319433193
731,YGR159C,15.683486367818096,3.9580361540670674,8.888393122256481,9.50997188138055
4795,YMR288W,,9.200485765075474,9.931952626669077,9.566219195872275
4089,YGL084C,8.897591933950547,7.429807267825688,12.423481623053293,9.583626941609843
1383,YEL040W,11.721803382541669,6.670810621345162,10.381492988432262,9.591368997439696
3319,YDL198C,9.725586382173237,7.273750552078878,11.809030654925259,9.602789196392457
1959,YHR066W,8.207105392816247,12.705450729935245,7.899515306621979,9.604023809791157
432,YJR076C,17.07345064628654,7.549395941603058,4.236967806869073,9.619938131586224
4128,YLR020C,11.24908987649788,6.555670621644478,11.080185634129508,9.628315377423954
257,YFR033C,16.966268835752537,7.3123721652966,4.620692356109139,9.633111119052758
769,YJR007W,10.73414923066007,6.471924170762093,11.73697055298167,9.64768131813461
5292,YML080W,,,9.654721955625511,9.654721955625511
4649,YBR110W,14.061011526164286,6.094759334307112,8.810626114570029,9.655465658347142
4098,YNL090W,,,9.66869786634675,9.66869786634675
5257,YJL129C,8.023064526038798,,11.31461931532856,9.668841920683679
6152,YFL061W,13.867499354625865,6.861773004612377,8.286113102492882,9.671795153910374
14,YNL172W,9.436917993725467,,9.918317347006854,9.67761767036616
1223,YDR233C,,9.925029134646671,9.432554527101681,9.678791830874175
2507,YNL231C,16.75568247251349,5.3102396650080745,6.975190215501523,9.680370784341031
1487,YDR365C,,10.183438797893048,9.179290368067434,9.68136458298024
